Наименование;Агент;Широта;Долгота;СуммаПродаж;КоличествоДокументов;ПериодС;ПериодПо
"ИП Саидов Набибула Магомедович  (Набибула 8 964 012 69 44)  с.Тагзиркент";"ТП Агаханов  Беслан (нд - районы)";42.357701;47.359586;4 558 795.00;17;2026-02-01;2026-05-31
"ИП Сулейманов М.Г. ( Магазин "Бургимак", на спуске) 8 928 542 42 29";"ТП Агаханов  Беслан (нд - районы)";42.307686;47.382555;580 034.00;14;2026-02-01;2026-05-31
"ИП Юсупов И.Р. Супермаркет  "Восход" с.Карабудахкент  8 928 985 86 40";"ТП Агаханов  Беслан (нд - районы)";42.691656;47.562222;5 866 844.00;23;2026-02-01;2026-05-31
"ИП Юсупов И.Р. Торг/ дом "Восход" с.Карабудахкент  8 928 985 86 40";"ТП Агаханов  Беслан (нд - районы)";42.691592;47.562042;5 163 550.00;27;2026-02-01;2026-05-31
"Кафе,Хаджалмахи  т.8-967-751-57-77";"ТП Агаханов  Беслан (нд - районы)";42.413831;47.178511;5 304.00;1;2026-02-01;2026-05-31
"Кистоман г.Избербаш 8 963 422 17 57 (рядом с Асият) рынок";"ТП Агаханов  Беслан (нд - районы)";42.552063;47.876314;36 599.00;8;2026-02-01;2026-05-31
"Магазин  "Лидер",   Таим,   п. Манас  (от кольца  200м)";"ТП Агаханов  Беслан (нд - районы)";42.723417;47.681183;83 703.00;8;2026-02-01;2026-05-31
"Магазин  "Магнат",  Леваши  (возле  Абулмуслима)  т.8 928 531 18 99 Ислам ";"ТП Агаханов  Беслан (нд - районы)";42.421122;47.320658;735 724.00;9;2026-02-01;2026-05-31
"Магазин "Альфа" с. Леваши / 906 448 13 77 - Рукият";"ТП Агаханов  Беслан (нд - районы)";42.434140;47.325300;15 958.00;4;2026-02-01;2026-05-31
"Магазин "Мечта",   Губден  ул. Биярсланова  8 906 482 26 59 Сайгид";"ТП Агаханов  Беслан (нд - районы)";42.566788;47.565048;300 185.00;15;2026-02-01;2026-05-31
"Магазин "Панжа" с. Акуша   (Рядом со 2 школой) т. 8 928 555 54 45";"ТП Агаханов  Беслан (нд - районы)";42.277006;47.340832;134 136.00;13;2026-02-01;2026-05-31
"Магазин / Калимат п.Манас 8928 535 59 51";"ТП Агаханов  Беслан (нд - районы)";42.719407;47.665485;368 590.00;5;2026-02-01;2026-05-31
"Магомед-Хабиб,  п.Манас тел:8928-540-11-15";"ТП Агаханов  Беслан (нд - районы)";42.726433;47.679440;381 395.00;31;2026-02-01;2026-05-31
"Магомедрасул с.Бургимак 8 928 504 60 75";"ТП Агаханов  Беслан (нд - районы)";42.297509;47.370344;50 475.00;12;2026-02-01;2026-05-31
"Магомедсалам,  с.Акуша 8 928 584 84 77";"ТП Агаханов  Беслан (нд - районы)";42.282157;47.346387;3 292 097.00;17;2026-02-01;2026-05-31
"Махтиев Магомедшарип п.Манас ,тел:8964-004-88-55";"ТП Агаханов  Беслан (нд - районы)";42.718985;47.664918;27 156.00;2;2026-02-01;2026-05-31
"Мурадхан  НАЛИЧКА г.Избербаш, ул.1я Казбекова дом3,т..8903-482-35-35";"ТП Агаханов  Беслан (нд - районы)";42.557884;47.878625;69 950.00;7;2026-02-01;2026-05-31
"Муталимов Абдула  п.Манас 8928 958 22 80  Магазин 9";"ТП Агаханов  Беслан (нд - районы)";42.718574;47.664454;651 507.00;25;2026-02-01;2026-05-31
"Наличка Мухтар г.Избербаш т.8-903-480-32-01";"ТП Агаханов  Беслан (нд - районы)";42.557858;47.878687;4 708 674.00;32;2026-02-01;2026-05-31
"Омарова Айшат г.Избербаш  89634021933 89285126384";"ТП Агаханов  Беслан (нд - районы)";42.551724;47.876242;1 202 664.00;36;2026-02-01;2026-05-31
"Патя ( Наскент) с.Леваши т.8 960 421 05 03 и 8 960 409 98 38";"ТП Агаханов  Беслан (нд - районы)";42.418223;47.317041;73 775.00;5;2026-02-01;2026-05-31
"Пекарня  "Манас",  Пос. Манас   т.  8 928 516 70 57";"ТП Агаханов  Беслан (нд - районы)";42.725089;47.677809;122 740.00;6;2026-02-01;2026-05-31
"Пиццерия "Вкуснофф" г.Махачкала  ул.Абубакарова 106в.  т. 8 928 950 77 77  Шамиль";"ТП Агаханов  Беслан (нд - районы)";42.966725;47.486183;263 895.00;5;2026-02-01;2026-05-31
"Раисат ( Сабият) 8 928 238 81 84 с.Акуша";"ТП Агаханов  Беслан (нд - районы)";42.274488;47.346322;197 049.00;17;2026-02-01;2026-05-31
"Рая г.Избербаш ул.Маяковского78,тел:8989-870-36-21(ЗВОНИТЬ ЗАРАНЕЕ)";"ТП Агаханов  Беслан (нд - районы)";42.560577;47.863545;112 260.00;4;2026-02-01;2026-05-31
"С/м "Зеленое Яблочко" с.Леваши,тел:8963-373-33-32";"ТП Агаханов  Беслан (нд - районы)";42.417965;47.316873;1 182 610.00;18;2026-02-01;2026-05-31
"С/м "Перекресток" с.Бургимак Магомедали 8 928 239 50 00 ";"ТП Агаханов  Беслан (нд - районы)";42.304591;47.380169;327 611.00;5;2026-02-01;2026-05-31
"Саид, С.Гурбуки (у моста слева)  т. 8 965 494 81 11";"ТП Агаханов  Беслан (нд - районы)";42.608670;47.595716;633 631.00;19;2026-02-01;2026-05-31
"Саният Леваши. 8967 407 06 17";"ТП Агаханов  Беслан (нд - районы)";42.426923;47.320345;4 186.00;1;2026-02-01;2026-05-31
"Сапият,  Хаджалмахи (напротив кладбища) т.8 903 427 09 39";"ТП Агаханов  Беслан (нд - районы)";42.414922;47.179291;785 564.00;19;2026-02-01;2026-05-31
"Сиражутинов Али, с.Амиртек (В сторону Цудахара от Артура)  т.  8 903 040 07 34 ";"ТП Агаханов  Беслан (нд - районы)";42.324967;47.221173;716 379.00;16;2026-02-01;2026-05-31
"Склад, г. Избербаш, ул. Гамидова 97, т 89679379959 Гусейн";"ТП Агаханов  Беслан (нд - районы)";42.571016;47.867503;15 500.00;2;2026-02-01;2026-05-31
"Сулейман с.Леваши "Продовольственный магазин" (у большого кольца)";"ТП Агаханов  Беслан (нд - районы)";42.421375;47.318077;41 255.00;5;2026-02-01;2026-05-31
"Султан, с.Хаджалмахи 8 964  023 67 87";"ТП Агаханов  Беслан (нд - районы)";42.412863;47.177525;830 503.00;19;2026-02-01;2026-05-31
"Супермаркет "Гам"  ул. Абакарова  с. Карабудахкент / 89285230761 ";"ТП Агаханов  Беслан (нд - районы)";42.709111;47.584769;672 371.00;14;2026-02-01;2026-05-31
"Супермаркет "Городок" с.Губден (в центре) ул.Абдуллаева ,т..8964-000-22-76";"ТП Агаханов  Беслан (нд - районы)";42.564747;47.565280;951 678.00;17;2026-02-01;2026-05-31
"Супермаркет "Городок", с. Гурбуки, ул.Центральная 2 (у кольца)  т. 8 909 483 67 67 Барият";"ТП Агаханов  Беслан (нд - районы)";42.612980;47.602828;1 059 318.00;19;2026-02-01;2026-05-31
"Супермаркет "Дубурлан".  с. Леваши. т. 8928 284 76 67 Султан";"ТП Агаханов  Беслан (нд - районы)";42.426844;47.319465;1 195 841.00;11;2026-02-01;2026-05-31
"Супермаркет "Жасмин" г.Избербаш ул.Гамидова 57 т.89640122777 Раисат";"ТП Агаханов  Беслан (нд - районы)";42.559177;47.873658;3 044 610.00;35;2026-02-01;2026-05-31
"Супермаркет "Жасмин" г.Избербаш ул.Маяковского 108 т.89640122777 Раисат";"ТП Агаханов  Беслан (нд - районы)";42.566023;47.865765;965 875.00;34;2026-02-01;2026-05-31
"Супермаркет "Плаза" с.Акуша  Магомед  8 963 426 05 02";"ТП Агаханов  Беслан (нд - районы)";42.278242;47.346672;2 018 152.00;18;2026-02-01;2026-05-31
"Супермаркет "Пятерочка", Левашинский р-н, с.Какамахи, т. 8 922 555 55 95 Абубакар";"ТП Агаханов  Беслан (нд - районы)";42.400402;47.308915;1 216 231.00;23;2026-02-01;2026-05-31
"Супермаркет"Аль Хайр"  с. Губден (наверху, 2-й магазин)  тел.. 8960-411-18-88 Мухlамад";"ТП Агаханов  Беслан (нд - районы)";42.565698;47.563408;69 029.00;3;2026-02-01;2026-05-31
"Супермаркет"Аль Хайр"  с. Губден(при въезде, 1-й магазин)  тел.. 8960-411-18-88 Мухlамад";"ТП Агаханов  Беслан (нд - районы)";42.570693;47.571173;837 430.00;17;2026-02-01;2026-05-31
"Т/ц "Асият" с.Леваши  8 988 791 08 37";"ТП Агаханов  Беслан (нд - районы)";42.430577;47.322255;40 843.00;3;2026-02-01;2026-05-31
"Умукусум п.Манас (рядом с Нурджахан)";"ТП Агаханов  Беслан (нд - районы)";42.719269;47.665853;26 178.00;2;2026-02-01;2026-05-31
"Фариза п.Манас рядом с Загират ,тел:8 928 839 93 75";"ТП Агаханов  Беслан (нд - районы)";42.718509;47.664542;54 682.00;2;2026-02-01;2026-05-31
"Шамала п.Манас (рядом с Абдулой ),тел:8963-371-71-01 ";"ТП Агаханов  Беслан (нд - районы)";42.718460;47.664459;117 404.00;4;2026-02-01;2026-05-31
"Шамиль Каякент 8967 939 31 13";"ТП Агаханов  Беслан (нд - районы)";42.323595;47.222358;79 295.00;3;2026-02-01;2026-05-31
" ИП Алиханов Израиль М "Метелица"  ул. Каммаева 96/4 т: 8928 575-28-61 (Сулакский пост)";"ТП Агаханоф  Ариф ";43.025755;47.446204;4 240 675.00;8;2026-02-01;2026-05-31
" ИП Галаев Ш.М., Выпечка "Азбука вкуса",г.Махачкала ул.Юсупова 88,  т. 8 988 228 21 20";"ТП Агаханоф  Ариф ";42.964255;47.512008;29 450.00;1;2026-02-01;2026-05-31
" ИП Салахов КеримСолтан  О."Айс-Ленд", Халимбекаул 8-928-568-36-30 Пахружат";"ТП Агаханоф  Ариф ";42.841446;47.120773;13 064 500.00;15;2026-02-01;2026-05-31
" ООО "Кавказ" (КУМК)  г.Кизляр  ул.Морская 71 т.8 964 004 95 50";"ТП Агаханоф  Ариф ";43.857651;46.784401;4 235 000.00;5;2026-02-01;2026-05-31
" ООО "МИР"  ул. Даниялова 110 (под мост Анжи базар) тел. 8928 596 78 19 Саида ";"ТП Агаханоф  Ариф ";42.976539;47.522307;7 600 734.00;44;2026-02-01;2026-05-31
" ООО "Экспресс-Продукт" пр-кт Петра 1, 50  т.8 963 410 50 60 Ибрагим";"ТП Агаханоф  Ариф ";42.968578;47.536980;1 843 668.00;18;2026-02-01;2026-05-31
"Выпечка г.Дербент,  ул. Калуцкого 32  т. 8 964 003 66 70  Торговый Ахмед";"ТП Агаханоф  Ариф ";42.039862;48.294375;73 830.00;2;2026-02-01;2026-05-31
"ИП Дингалов А. Х. Кафе " Динпарк", ул.Хасавюртовское шоссе т. 8963 418 21 79";"ТП Агаханоф  Ариф ";43.038386;47.244438;19 455.00;1;2026-02-01;2026-05-31
"Кофейня "Оствин", п.Шамхал-Термен, ул.Заводская,1 (тер-я .бывш. Винзавода)   т.8-988-262-40-42";"ТП Агаханоф  Ариф ";43.029450;47.318762;15 600.00;2;2026-02-01;2026-05-31
"ООО "Айсберг",Чечня,г.Гудермес,трасса Ростов-Баку,5-ый км,д/в   8 989 178 21 30";"ТП Агаханоф  Ариф ";43.337143;46.040902;21 985 000.00;9;2026-02-01;2026-05-31
"ООО "АМК Продукт",ул.Хасавюртовская,33(р-н Ленинк.поста,территория Бетонобазы "Алмаз", т89634221652";"ТП Агаханоф  Ариф ";42.975341;47.379225;130 968.00;1;2026-02-01;2026-05-31
"ООО "Дагинтерн"  г.Избербаш ул. Азизова 24 т. 8 963 794 09 99 Рамазан";"ТП Агаханоф  Ариф ";42.585185;47.858257;1 139 000.00;4;2026-02-01;2026-05-31
"ООО "ДагФрост" ул.Бейбулатова 38, т.8903 481 16 16 Шарапудин";"ТП Агаханоф  Ариф ";42.968624;47.528049;11 431 000.00;5;2026-02-01;2026-05-31
"ООО "Мороз", г. Хасавюрт ул Воинов Интернационалистов 24. тел +7 928 519-00-77";"ТП Агаханоф  Ариф ";43.030193;47.417899;15 155 668.00;8;2026-02-01;2026-05-31
"ООО "Тим Холдинг", ул. Булача 1-й тупик,строение 6 тел:8-928-555-34-44(р-н кольца нов.кас.трасса)";"ТП Агаханоф  Ариф ";42.950504;47.535091;10 681 895.00;10;2026-02-01;2026-05-31
"ООО "Юнион" Хасавюртовское шоссе 217 (возле Куядинского рынка)  т. 8 963 426 79 60";"ТП Агаханоф  Ариф ";42.995746;47.351951;1 009 288.00;2;2026-02-01;2026-05-31
"Оптовик, Чечня г.Гудермес, ул.Базарная, рынок "Элит"   8-938-023-83-85";"ТП Агаханоф  Ариф ";43.345488;46.105666;467 099.00;2;2026-02-01;2026-05-31
"Производство "Мороженое",п.Шамхал-Термен,ул.Заводская,1 (тер-я .бывш. Винзавода)   т.8-988-262-40-42";"ТП Агаханоф  Ариф ";43.029450;47.318762;920 000.00;2;2026-02-01;2026-05-31
